SRI_id	SRI_label	SRI_def	ECO_label	ECO_id	ECO_def
EV-AS	Author statement	Author statement. The evidence for an assertion comes from an author statement in a publication, where that publication does not state direct experimental support for the assertion. Ordinarily, this code will not be used directly -- generally one of its child codes, EV-TAS or EV-NAS, will be used instead.	author statement	ECO:0000204	A documented statement evidence that is based on an assertion by the author of a paper, which is read by a curator.
EV-AS-TAS	Traceable author statement	Traceable author statement. The assertion was made in a publication -- such as a review or in another database -- that itself did not describe an experiment supporting the assertion. The statement referenced another publication that supported the assertion, but it is unclear whether that publication described an experiment that supported the assertion. The difference between the codes EV-EXP-TAS and EV-AS-TAS is that the former code is used when it is certain that experimental evidence supports the assertion, and the latter code is used when there is a possibility that an experiment was not done to support the assertion. In general, references to the primary literature are preferred, but this code can be used when the original article is difficult to locate.	author statement supported by traceable reference	ECO:0000033	A type of author statement in which the author makes a statement that is not supported by information in that particular publication, but rather can be traced to a reference cited by that publication.
EV–AS–NAS	Non-traceable author statement	Non-traceable author statement. The assertion was made in a publication such as a review, a meeting abstract, or another database without a reference to a publication describing an experiment that supports the assertion.	author statement without traceable support	ECO:0000034	A type of author statement that is not associated with results presented or a cited reference.
EV-AS-HYPO	Author hypothesis	Author hypothesis. The hypothesis is in a publication, but it was clearly indicated in the publication that there was no experimental evidence, or limited evidence, supporting the hypothesis. This code can be used, for example, for "paper chemistry" metabolic pathways, which are pathways drawn from the author's best estimation.	author statement without traceable support	ECO:0000034	A type of author statement that is not associated with results presented or a cited reference.
EV–Comp	Inferred from computation	Inferred from computation. The evidence for an assertion comes from a computational analysis. The assertion itself might have been made by a person or by a computer, that is, EV-COMP does not specify whether manual interpretation of the computation occurred.	computational evidence	ECO:0007672	A type of evidence in which data are produced, and/or generated, and/or analyzed on a computer.
EV–Comp–HInf	Inferred by a human based on computational evidence	Human inference. A curator or author inferred this assertion after review of one or more possible types of computational evidence such as sequence similarity, recognized motifs or consensus sequence, etc. When the inference was made by a computer in an automated fashion, use EV-AINF.	computational evidence used in manual assertion	ECO:0007668	A type of computational evidence that is used in a manual assertion.
EV–Comp–HInf–Positional–Identification	Human inference of promoter position	A person inferred, or reviewed a computer inference of, promoter position relative to the -10 and -35 boxes.	motif similarity evidence used in manual assertion	ECO:0000028	A type of match to sequence model evidence that is based on the presence of a recognized domain or motif in a gene product's (usually protein) primary sequence.
EV–Comp–HInf–Similar–To–Consensus	Human inference based on similarity toconsensus sequences	A person inferred, or reviewed a computer inference of, sequence function based on similarity to a consensus sequence.	consensus search evidence used in manual assertion	ECO:0005624	A type of consensus search evidence that is used in a manual assertion.
EV–Comp–HInf–Fn–From–Seq	Human inference of function from sequence	A person inferred, or reviewed a computer inference of, gene function based on sequence, profile, or structural similarity (as computed from sequence) to one or more other sequences.	sequence similarity evidence used in manual assertion	ECO:0000250	A type of sequence similarity evidence that is used in a manual assertion.
EV–Comp–AInf	Inferred computationally without humanoversight - automated inference	Automated inference. A computer inferred this assertion through one of many possible methods such as sequence similarity, recognized motifs or consensus sequence, etc. When a person made the inference from computational evidence, use EV-HINF	computational evidence used in automatic assertion	ECO:0007669	A type of computational evidence that is used in an automatic assertion.
